Threshold	FDR	TPR
0.000000	0.327879	1.000000
0.010101	0.305828	0.992509
0.020202	0.287930	0.988764
0.030303	0.278655	0.984082
0.040404	0.272222	0.981273
0.050505	0.259915	0.978464
0.060606	0.245665	0.977528
0.070707	0.227003	0.975655
0.080808	0.204580	0.975655
0.090909	0.184808	0.974719
0.101010	0.170654	0.973783
0.111111	0.146842	0.973783
0.121212	0.119492	0.972846
0.131313	0.093531	0.970974
0.141414	0.071620	0.970974
0.151515	0.049587	0.969101
0.161616	0.026341	0.969101
0.171717	0.015238	0.968165
0.181818	0.005769	0.968165
0.191919	0.001934	0.966292
0.202020	0.001936	0.965356
0.212121	0.001940	0.963483
0.222222	0.001942	0.962547
0.232323	0.001951	0.957865
0.242424	0.001957	0.955056
0.252525	0.001963	0.952247
0.262626	0.001965	0.951311
0.272727	0.001969	0.949438
0.282828	0.001969	0.949438
0.292929	0.001969	0.949438
0.303030	0.001970	0.948502
0.313131	0.001974	0.946629
0.323232	0.001976	0.945693
0.333333	0.001980	0.943820
0.343434	0.001982	0.942884
0.353535	0.001982	0.942884
0.363636	0.001986	0.941011
0.373737	0.001988	0.940075
0.383838	0.001992	0.938202
0.393939	0.001996	0.936330
0.404040	0.002002	0.933521
0.414141	0.002006	0.931648
0.424242	0.002008	0.930712
0.434343	0.002018	0.926030
0.444444	0.002020	0.925094
0.454545	0.002022	0.924157
0.464646	0.002024	0.923221
0.474747	0.002030	0.920412
0.484848	0.002035	0.918539
0.494949	0.002043	0.914794
0.505051	0.002047	0.912921
0.515152	0.002058	0.908240
0.525253	0.002064	0.905431
0.535354	0.002066	0.904494
0.545455	0.002068	0.903558
0.555556	0.002077	0.899813
0.565657	0.002079	0.898876
0.575758	0.002083	0.897004
0.585859	0.002094	0.892322
0.595960	0.002096	0.891386
0.606061	0.002101	0.889513
0.616162	0.002112	0.884831
0.626263	0.002114	0.883895
0.636364	0.002116	0.882959
0.646465	0.002125	0.879213
0.656566	0.002132	0.876404
0.666667	0.002134	0.875468
0.676768	0.002137	0.874532
0.686869	0.002141	0.872659
0.696970	0.002141	0.872659
0.707071	0.002146	0.870787
0.717172	0.002148	0.869850
0.727273	0.002153	0.867978
0.737374	0.002155	0.867041
0.747475	0.002165	0.863296
0.757576	0.002169	0.861423
0.767677	0.002174	0.859551
0.777778	0.002186	0.854869
0.787879	0.002203	0.848315
0.797980	0.002208	0.846442
0.808081	0.002212	0.844569
0.818182	0.002220	0.841760
0.828283	0.002227	0.838951
0.838384	0.002232	0.837079
0.848485	0.002235	0.836142
0.858586	0.002242	0.833333
0.868687	0.002245	0.832397
0.878788	0.002260	0.826779
0.888889	0.002268	0.823970
0.898990	0.002273	0.822097
0.909091	0.002294	0.814607
0.919192	0.002299	0.812734
0.929293	0.002317	0.806180
0.939394	0.002326	0.803371
0.949495	0.002339	0.798689
0.959596	0.002356	0.793071
0.969697	0.002389	0.781835
0.979798	0.002418	0.772472
0.989899	0.002503	0.746255
1.000000	0.000000	0.409176
