FPR	TPR	Threshold
0.000000	0.000000	inf
0.000000	0.409176	1.000000
0.000000	0.411985	1.000000
0.000000	0.414794	1.000000
0.000000	0.417603	1.000000
0.000000	0.418539	1.000000
0.000000	0.420412	1.000000
0.000000	0.421348	1.000000
0.000000	0.423221	1.000000
0.000000	0.595506	0.999993
0.001919	0.595506	0.999993
0.001919	0.742509	0.991412
0.003839	0.742509	0.991142
0.003839	0.967228	0.186756
0.011516	0.967228	0.183464
0.011516	0.968165	0.183380
0.044146	0.968165	0.169143
0.044146	0.969101	0.169101
0.124760	0.969101	0.145321
0.124760	0.970037	0.145163
0.147793	0.970037	0.142731
0.147793	0.970974	0.142567
0.234165	0.970974	0.128566
0.234165	0.971910	0.128478
0.266795	0.971910	0.122783
0.266795	0.972846	0.121933
0.330134	0.972846	0.112985
0.330134	0.973783	0.112947
0.429942	0.973783	0.097155
0.429942	0.974719	0.096811
0.497121	0.974719	0.084429
0.497121	0.975655	0.084398
0.639155	0.975655	0.063668
0.639155	0.976592	0.063521
0.641075	0.976592	0.063369
0.641075	0.977528	0.062610
0.667946	0.977528	0.059005
0.667946	0.978464	0.058515
0.715931	0.978464	0.048717
0.715931	0.979401	0.048533
0.729367	0.979401	0.046733
0.729367	0.980337	0.046516
0.752399	0.980337	0.041693
0.752399	0.981273	0.040928
0.756238	0.981273	0.039961
0.756238	0.982210	0.039730
0.758157	0.982210	0.039304
0.758157	0.983146	0.038397
0.771593	0.983146	0.033780
0.771593	0.984082	0.032608
0.783109	0.984082	0.030046
0.783109	0.985019	0.030019
0.798464	0.985019	0.026536
0.798464	0.985955	0.026219
0.806142	0.985955	0.023769
0.806142	0.986891	0.023654
0.808061	0.986891	0.023011
0.808061	0.987828	0.022592
0.819578	0.987828	0.020477
0.819578	0.988764	0.020205
0.827255	0.988764	0.019338
0.827255	0.989700	0.019084
0.833013	0.989700	0.018233
0.833013	0.990637	0.017934
0.850288	0.990637	0.015901
0.850288	0.991573	0.015594
0.894434	0.991573	0.011012
0.894434	0.992509	0.010953
0.902111	0.992509	0.009708
0.902111	0.993446	0.009684
0.913628	0.993446	0.008241
0.913628	0.994382	0.007755
0.942418	0.994382	0.005055
0.942418	0.995318	0.004843
0.975048	0.995318	0.001867
0.975048	0.996255	0.001818
0.982726	0.996255	0.001107
0.982726	0.999064	0.000504
0.986564	0.999064	0.000367
0.986564	1.000000	0.000345
1.000000	1.000000	0.000002
